player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Tyler Seguin,DAL,0,0,1,0,1,0,0,100.0,20252026
Miro Heiskanen,DAL,2,2,1,0,0,0,1,,20252026
Alexander Nikishin,CAR,4,1,10,0,0,0,2,,20252026
Drake Batherson,OTT,1,0,0,0,0,0,0,,20252026
Shane Pinto,OTT,0,1,1,1,5,0,0,100.0,20252026
Mason Lohrei,BOS,2,4,5,0,0,0,0,,20252026
Sean Monahan,CBJ,0,0,1,0,11,10,0,52.38095238095239,20252026
Bo Horvat,NYI,1,0,3,0,35,20,0,63.63636363636363,20252026
Jean-Gabriel Pageau,NYI,0,0,0,1,10,4,0,71.42857142857143,20252026
Anders Lee,NYI,1,0,2,1,4,5,0,44.44444444444444,20252026
Hampus Lindholm,BOS,4,3,4,0,0,0,1,,20252026
Shea Theodore,VGK,0,0,1,0,0,0,0,,20252026
Josh Dunne,BUF,0,0,0,0,0,2,0,0.0,20252026
Jonathan Drouin,NYI,2,0,1,0,8,2,0,80.0,20252026
Emil Heineman,NYI,0,0,2,2,0,0,0,,20252026
Kyle Palmieri,NYI,0,0,2,0,0,0,0,,20252026
Moritz Seider,DET,4,2,1,0,0,0,1,,20252026
Michael Rasmussen,DET,0,0,0,0,2,0,0,100.0,20252026
Emmitt Finnie,DET,0,0,0,0,2,0,0,100.0,20252026
Chris Kreider,ANA,12,1,8,1,5,3,2,62.5,20252026
Alex DeBrincat,DET,0,0,7,0,1,1,0,50.0,20252026
James van Riemsdyk,DET,1,1,0,0,0,0,1,,20252026
Marco Kasper,DET,0,0,0,2,0,1,0,0.0,20252026
Jakob Chychrun,WSH,3,1,1,0,0,0,0,,20252026
Isak Rosen,BUF,0,0,2,0,0,0,0,,20252026
Ryan Leonard,WSH,0,0,2,1,0,1,2,0.0,20252026
Alex Ovechkin,WSH,0,0,2,1,0,0,0,,20252026
Jesper Bratt,NJD,0,0,1,1,0,0,0,,20252026
Stefan Noesen,NJD,1,0,0,0,0,5,0,0.0,20252026
Beckett Sennecke,ANA,3,2,10,2,0,0,5,,20252026
Clayton Keller,UTA,0,0,2,0,0,0,0,,20252026
Fraser Minten,BOS,4,0,3,1,26,26,0,50.0,20252026
Eetu Luostarinen,FLA,0,1,0,0,1,1,0,50.0,20252026
Jansen Harkins,ANA,0,0,0,0,7,2,0,77.77777777777779,20252026
Dalibor Dvorsky,STL,1,0,0,0,7,6,0,53.84615384615385,20252026
Dylan Holloway,STL,0,1,4,2,2,2,0,50.0,20252026
Robert Thomas,STL,0,0,3,0,15,9,0,62.5,20252026
Pius Suter,STL,0,0,0,0,0,1,0,0.0,20252026
Joel Eriksson Ek,MIN,2,1,0,1,14,13,0,51.85185185185185,20252026
Marco Rossi,MIN,0,1,0,0,1,0,0,100.0,20252026
Marcus Johansson,MIN,0,0,2,0,0,0,0,,20252026
Matt Boldy,MIN,0,1,1,0,0,3,1,0.0,20252026
Jared Spurgeon,MIN,1,0,0,0,0,0,0,,20252026
Vladimir Tarasenko,MIN,1,0,1,0,0,0,0,,20252026
Zeev Buium,MIN,2,0,1,1,0,0,0,,20252026
Mikko Rantanen,DAL,0,0,1,0,0,0,1,,20252026
Morgan Rielly,TOR,0,0,1,0,0,0,0,,20252026
Max Domi,TOR,1,0,1,0,5,1,0,83.33333333333334,20252026
Jordan Martinook,CAR,0,0,0,0,1,0,1,100.0,20252026
William Carrier,CAR,2,0,0,0,0,0,0,,20252026
Jordan Greenway,BUF,1,0,0,0,0,0,0,,20252026
Brett Howden,VGK,0,0,0,0,1,1,0,50.0,20252026
Ivan Barbashev,VGK,0,0,0,0,1,2,0,33.33333333333333,20252026
Matthew Knies,TOR,2,0,2,0,0,0,0,,20252026
Jonathan Toews,WPG,1,0,0,0,12,4,0,75.0,20252026
Vladislav Namestnikov,WPG,0,0,1,0,1,1,0,50.0,20252026
Alex Iafallo,WPG,0,0,1,0,0,0,0,,20252026
Neal Pionk,WPG,1,0,0,1,0,0,0,,20252026
Mark Scheifele,WPG,0,0,4,0,15,11,0,57.692307692307686,20252026
Alex Steeves,BOS,0,0,3,3,1,0,0,100.0,20252026
Steven Lorentz,TOR,0,0,0,0,0,1,0,0.0,20252026
Jacob Trouba,ANA,1,1,1,1,0,0,0,,20252026
Valeri Nichushkin,COL,2,0,0,0,0,0,0,,20252026
Gavin Brindley,COL,0,0,2,0,0,1,0,0.0,20252026
Devon Toews,COL,2,0,0,0,0,0,0,,20252026
Troy Terry,ANA,3,1,3,0,0,0,0,,20252026
Peyton Krebs,BUF,0,0,1,0,2,5,1,28.57142857142857,20252026
Axel Sandin-Pellikka,DET,2,0,0,0,0,0,0,,20252026
Ryan Strome,ANA,0,0,1,0,8,14,0,36.36363636363637,20252026
Noah Ostlund,BUF,2,0,4,0,1,8,0,11.11111111111111,20252026
Elias Pettersson,VAN,2,0,1,0,14,16,1,46.666666666666664,20252026
Conor Garland,VAN,1,0,0,0,0,1,0,0.0,20252026
Brock Boeser,VAN,0,0,3,1,2,0,0,100.0,20252026
Kirill Kaprizov,MIN,2,1,0,0,0,0,0,,20252026
Ryan Hartman,MIN,2,0,0,0,8,6,0,57.14285714285714,20252026
Brock Faber,MIN,0,1,1,0,0,0,0,,20252026
Ben Jones,MIN,0,0,0,0,2,0,0,100.0,20252026
Juraj Slafkovský,MTL,2,1,1,0,2,5,0,28.57142857142857,20252026
Zachary Bolduc,MTL,0,0,0,2,1,2,0,33.33333333333333,20252026
Marat Khusnutdinov,BOS,2,0,4,0,4,1,0,80.0,20252026
Cole Caufield,MTL,1,0,2,0,1,0,0,100.0,20252026
Oliver Kapanen,MTL,0,0,0,0,8,3,0,72.72727272727273,20252026
Patrick Kane,DET,0,0,2,0,0,2,1,0.0,20252026
Nate Danielson,DET,0,0,0,0,0,1,0,0.0,20252026
Leon Draisaitl,EDM,0,0,0,1,13,14,0,48.148148148148145,20252026
Zach Hyman,EDM,2,1,1,1,0,0,1,,20252026
Jack Roslovic,EDM,0,0,3,0,2,2,0,50.0,20252026
Adam Henrique,EDM,0,0,0,0,4,2,0,66.66666666666666,20252026
Connor McDavid,EDM,2,0,4,0,3,5,1,37.5,20252026
Dylan Guenther,UTA,0,0,0,0,0,1,0,0.0,20252026
Nazem Kadri,CGY,0,0,1,0,7,7,0,50.0,20252026
Morgan Frost,CGY,0,0,1,0,15,2,0,88.23529411764706,20252026
Michael Amadio,OTT,0,0,0,0,0,1,0,0.0,20252026
Cole Perfetti,WPG,2,0,2,1,0,0,0,,20252026
Anze Kopitar,LAK,0,0,0,0,9,8,0,52.94117647058824,20252026
Phillip Danault,LAK,0,0,0,0,1,2,0,33.33333333333333,20252026
Adrian Kempe,LAK,1,0,1,0,4,3,1,57.14285714285714,20252026
Corey Perry,LAK,1,0,0,0,1,0,1,100.0,20252026
Alex Laferriere,LAK,0,0,2,0,2,3,0,40.0,20252026
Kevin Fiala,LAK,0,2,3,2,0,0,0,,20252026
Matěj  Blümel,BOS,0,0,1,0,0,0,0,,20252026
Dmitry Orlov,SJS,0,0,1,1,0,0,0,,20252026
Mathew Barzal,NYI,2,1,2,0,1,1,0,50.0,20252026
Matthew Schaefer,NYI,1,1,3,0,0,0,0,,20252026
Calum Ritchie,NYI,1,0,0,0,0,1,0,0.0,20252026
Anthony Duclair,NYI,2,0,0,0,0,0,1,,20252026
Evander Kane,VAN,0,0,2,0,1,1,0,50.0,20252026
Jake DeBrusk,VAN,0,0,1,0,1,1,0,50.0,20252026
Petr Mrazek,ANA,0,0,1,0,0,0,0,,20252026
Artemi Panarin,NYR,0,1,2,0,0,0,0,,20252026
Arseny Gritsyuk,NJD,0,0,0,0,0,0,1,,20252026
Andrei Kuzmenko,LAK,0,0,1,0,0,0,0,,20252026
Gabriel Vilardi,WPG,0,0,2,0,2,1,0,66.66666666666666,20252026
Gustav Nyquist,WPG,0,0,1,0,0,0,0,,20252026
Kyle Connor,WPG,0,0,2,0,0,0,0,,20252026
Ryan Greene,CHI,0,0,1,0,3,8,0,27.27272727272727,20252026
Matt Coronato,CGY,0,0,0,0,3,2,1,60.0,20252026
Jonathan Huberdeau,CGY,0,0,1,0,0,0,0,,20252026
Mikael Backlund,CGY,0,0,1,0,3,1,0,75.0,20252026
Ville Husso,ANA,0,0,1,0,0,0,0,,20252026
Pavel Buchnevich,STL,1,0,2,0,0,0,0,,20252026
Oskar Sundqvist,STL,0,0,0,0,2,0,1,100.0,20252026
Nathan Walker,STL,0,0,1,0,0,0,0,,20252026
Nick Bjugstad,STL,0,0,0,0,1,0,0,100.0,20252026
Philip Broberg,STL,0,1,1,0,0,0,0,,20252026
J.T. Compher,DET,0,0,0,0,1,4,0,20.0,20252026
Noah Cates,PHI,0,0,0,1,10,5,1,66.66666666666666,20252026
Anthony Beauvillier,WSH,0,0,0,0,0,1,0,0.0,20252026
Ethen Frank,WSH,1,0,0,0,0,0,1,,20252026
Dougie Hamilton,NJD,1,0,0,0,0,0,0,,20252026
Jonathan Marchessault,NSH,1,0,0,0,0,0,0,,20252026
Erik Haula,NSH,0,0,1,0,4,4,0,50.0,20252026
Anthony Mantha,PIT,0,0,3,0,0,0,0,,20252026
Kevin Hayes,PIT,0,0,0,0,0,1,0,0.0,20252026
Noel Acciari,PIT,0,0,0,0,4,5,0,44.44444444444444,20252026
Zach Werenski,CBJ,1,0,1,0,0,0,0,,20252026
Kirill Marchenko,CBJ,1,0,1,0,0,0,0,,20252026
Luca Del Bel Belluz,CBJ,0,0,0,0,0,1,0,0.0,20252026
Charlie Coyle,CBJ,2,1,1,4,6,5,0,54.54545454545454,20252026
Brayden Schenn,STL,1,0,0,0,2,3,0,40.0,20252026
Justin Faulk,STL,0,0,1,0,0,0,0,,20252026
Evan Bouchard,EDM,1,0,1,0,0,0,0,,20252026
Casey Cizikas,NYI,0,0,0,0,2,0,0,100.0,20252026
Adam Pelech,NYI,0,0,1,0,0,0,0,,20252026
Aatu Räty,VAN,0,0,0,0,3,1,0,75.0,20252026
Kiefer Sherwood,VAN,2,0,0,0,0,1,0,0.0,20252026
Thatcher Demko,VAN,0,0,1,0,0,0,0,,20252026
Luke Hughes,NJD,1,2,1,0,0,0,0,,20252026
Paul Cotter,NJD,0,0,1,1,0,0,0,,20252026
Emil Andrae,PHI,0,0,1,0,0,0,0,,20252026
Nicolas Aube-Kubel,MIN,0,0,0,0,0,1,0,0.0,20252026
Frederick Gaudreau,SEA,0,0,0,0,4,4,0,50.0,20252026
Jonny Brodzinski,NYR,0,0,1,0,0,0,0,,20252026
Noah Laba,NYR,0,0,0,0,0,3,0,0.0,20252026
Taylor Raddysh,NYR,0,0,0,0,0,1,0,0.0,20252026
Sam Carrick,NYR,0,0,0,0,1,0,0,100.0,20252026
Nate Schmidt,UTA,0,0,1,0,0,0,0,,20252026
Sean Durzi,UTA,0,0,1,0,0,0,0,,20252026
Adam Fantilli,CBJ,1,0,1,0,10,15,0,40.0,20252026
Juuse Saros,NSH,0,0,1,0,0,0,0,,20252026
Nick Blankenburg,NSH,0,0,1,0,0,0,0,,20252026
Ryan Nugent-Hopkins,EDM,0,1,0,1,2,2,0,50.0,20252026
Darnell Nurse,EDM,0,0,1,0,0,0,0,,20252026
Bobby Brink,PHI,1,0,1,0,0,0,0,,20252026
Christian Dvorak,PHI,0,0,1,0,24,8,0,75.0,20252026
Travis Sanheim,PHI,1,0,0,0,0,0,0,,20252026
Jamie Benn,DAL,0,0,1,0,1,3,0,25.0,20252026
Thomas Harley,DAL,2,0,1,0,0,0,0,,20252026
