player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Marcus Johansson,SEA,0,0,2,0,1,5,0,16.666666666666664,20212022
Jesse Puljujarvi,EDM,0,0,0,1,0,0,1,,20212022
Ryan McLeod,EDM,0,0,0,0,5,1,1,83.33333333333334,20212022
Sean Couturier,PHI,0,0,0,0,3,7,0,30.0,20212022
James van Riemsdyk,PHI,0,0,0,0,0,0,1,,20212022
Jaccob Slavin,CAR,2,4,1,2,0,0,0,,20212022
Carter Hart,PHI,0,0,1,0,0,0,0,,20212022
Jeremy Swayman,BOS,0,0,1,0,0,0,2,,20212022
Pavel Buchnevich,STL,0,0,0,0,0,1,0,0.0,20212022
Colton Parayko,STL,1,0,0,0,0,0,0,,20212022
Jeff Carter,PIT,0,0,1,0,10,4,0,71.42857142857143,20212022
Sidney Crosby,PIT,0,0,1,3,24,15,0,61.53846153846154,20212022
Evan Rodrigues,PIT,0,0,4,0,1,0,0,100.0,20212022
Bryan Rust,PIT,0,0,3,0,0,0,1,,20212022
Robert Hagg,BUF,0,0,0,0,0,0,2,,20212022
Chandler Stephenson,VGK,0,0,3,1,11,9,0,55.00000000000001,20212022
Nicolas Roy,VGK,0,0,0,0,4,4,0,50.0,20212022
Zack MacEwen,PHI,0,0,0,1,0,1,1,0.0,20212022
Joel Farabee,PHI,0,0,1,0,2,1,1,66.66666666666666,20212022
Ivan Provorov,PHI,1,1,2,0,0,0,0,,20212022
Arthur Kaliyev,LAK,0,0,0,0,0,0,1,,20212022
Seth Jarvis,CAR,1,1,5,2,0,1,1,0.0,20212022
Blake Lizotte,LAK,0,0,0,0,0,2,0,0.0,20212022
Noah Hanifin,CGY,0,0,1,0,0,0,0,,20212022
Mika Zibanejad,NYR,1,0,2,0,18,23,0,43.90243902439025,20212022
Chris Kreider,NYR,0,0,1,3,0,0,0,,20212022
Cole Sillinger,CBJ,0,0,0,0,1,2,0,33.33333333333333,20212022
Mark Pysyk,BUF,0,0,0,0,0,0,1,,20212022
Mattias Ekholm,NSH,0,0,1,0,0,0,0,,20212022
Tommy Novak,NSH,0,0,0,0,2,2,0,50.0,20212022
Sam Steel,ANA,0,1,0,0,13,9,0,59.09090909090909,20212022
Timo Meier,SJS,1,0,3,1,0,0,0,,20212022
Kurtis MacDermid,COL,0,0,0,0,0,0,1,,20212022
Gabriel Landeskog,COL,1,0,1,0,5,5,0,50.0,20212022
Mikko Rantanen,COL,1,3,6,0,1,2,0,33.33333333333333,20212022
Nazem Kadri,COL,0,1,3,1,20,16,0,55.55555555555556,20212022
Devon Toews,COL,0,1,1,1,0,0,0,,20212022
Cale Makar,COL,2,1,0,0,0,0,0,,20212022
Alex Newhook,COL,0,0,0,0,1,1,0,50.0,20212022
Tyson Jost,COL,0,0,0,0,0,1,1,0.0,20212022
Valeri Nichushkin,COL,0,1,1,0,0,0,0,,20212022
