player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
Joel Edmundson,L.A,20242025,145.51666666667,D,16.0,17.9,6.221967701294096,4.535562936662362,0.0,0.0,0.0,0.0,42,1.8999999999999986
Roman Josi,NSH,20242025,70.716666666667,D,15.9,20.0,7.466415272213023,3.393825123733192,0.848456280933298,0.848456280933298,0.0,0.0,43,4.1
Jack Drury,"CAR, COL",20242025,95.183333333333,C,15.8,7.7,8.049728593941545,8.19471195937667,1.26072491682718,0.0,0.0,0.0,44,-8.100000000000001
Wyatt Kaiser,CHI,20242025,88.983333333333,D,15.7,17.2,7.066491852406845,4.045701442217659,0.0,0.0,0.0,0.0,45,1.5
Kiefer Sherwood,VAN,20242025,111.3,L,15.6,14.7,6.878706199460916,5.929919137466308,1.078167115902965,0.0,0.0,0.5390835579514826,46,-0.9000000000000004
Samuel Girard,COL,20242025,106.93333333333,D,15.5,8.4,6.5087281795513245,7.85536159601022,0.0,0.0,0.5610972568578729,0.0,47,-7.1
Mathieu Olivier,CBJ,20242025,73.833333333333,R,15.5,10.3,7.126862302483102,7.313769751693035,0.0,0.0,0.0,0.8126410835214484,48,-5.199999999999999
Anton Lundell,FLA,20242025,154.18333333333,C,15.4,14.2,7.164198465030961,5.837206788455428,0.0,0.0,0.0,0.3891471192303618,49,-1.200000000000001
Sam Carrick,NYR,20242025,91.833333333333,C,15.4,17.2,7.389473684210553,4.573502722323066,0.0,0.0,0.0,0.653357531760438,50,1.799999999999999
Roope Hintz,DAL,20242025,89.8,C,15.3,11.1,7.690423162583519,7.349665924276169,0.0,0.0,0.0,0.0,51,-4.200000000000001
Tom Wilson,WSH,20242025,126.61666666667,R,15.2,9.9,6.757404238515025,6.634197709622044,1.4216137949190095,0.0,0.0,0.9477425299460064,52,-5.299999999999999
Artturi Lehkonen,COL,20242025,64.8,L,15.2,16.8,6.75,4.62962962962963,0.925925925925926,0.0,1.851851851851852,0.925925925925926,53,1.6000000000000014
Michael McCarron,NSH,20242025,168.53333333333,"C, R",15.1,12.8,6.280063291139364,6.408227848101393,0.0,0.0,0.0,0.0,54,-2.299999999999999
Brent Burns,CAR,20242025,184.8,D,15.0,17.4,6.581168831168831,3.896103896103896,1.2987012987012987,0.6493506493506493,1.6233766233766234,0.0,55,2.3999999999999986
Derek Forbort,VAN,20242025,113.95,D,15.0,20.0,6.7082053532250985,2.632733655111891,0.0,0.0,0.0,0.0,56,5.0
Seth Jones,"CHI, FLA",20242025,160.83333333333,D,15.0,12.3,6.629222797927599,6.715025906735891,0.3730569948186606,0.0,0.3730569948186606,0.0,57,-2.6999999999999993
Mikey Anderson,L.A,20242025,230.26666666667,D,14.9,13.9,7.05616676317303,5.9930515344527215,0.0,0.0,0.0,0.0,58,-1.0
Victor Hedman,T.B,20242025,120.13333333333,D,14.9,17.7,8.455604883463055,4.994450610432991,0.0,0.0,0.4994450610432991,0.0,59,2.799999999999999
Eetu Luostarinen,FLA,20242025,157.58333333333,C,14.9,14.3,6.887784241142399,6.092014806980563,0.0,0.0,0.0,0.3807509254362852,60,-0.5999999999999996
Kyle Connor,WPG,20242025,64.916666666667,L,14.9,14.4,6.636200256739375,4.621309370988423,0.0,0.0,0.9242618741976846,0.9242618741976846,61,-0.5
Brett Pesce,N.J,20242025,152.86666666667,D,14.9,16.6,6.986480593109311,3.9249890972524217,0.0,0.0,0.0,0.3924989097252422,62,1.700000000000001
Gustav Nyquist,"MIN, NSH",20242025,101.43333333333,"C, R",14.7,11.8,6.577719355899,6.5067367729216725,0.0,0.0,1.1830430496221225,0.5915215248110611,63,-2.8999999999999986
Vincent Desharnais,"PIT, S.J, VAN",20242025,73.716666666667,D,14.7,14.4,5.502147863441079,4.883563192403324,0.0,0.0,0.0,0.0,64,-0.29999999999999893
Lucas Raymond,DET,20242025,60.0,L,14.6,12.4,7.609999999999999,6.0,0.0,2.0,0.0,1.0,65,-2.1999999999999993
MacKenzie Weegar,CGY,20242025,143.36666666667,D,14.5,8.4,6.449197860962417,7.114624505928688,0.0,0.4185073238781581,0.8370146477563163,0.0,66,-6.1
Logan O'Connor,COL,20242025,150.96666666667,R,14.5,7.7,6.259659969087961,8.346213292117282,0.0,0.0,0.0,0.0,67,-6.8
Brayden Pachal,CGY,20242025,92.216666666667,D,14.4,8.5,6.773179107175107,8.458340863907434,0.0,0.0,0.0,0.0,68,-5.9
Wyatt Johnston,DAL,20242025,117.65,C,14.3,12.7,7.267318317042073,6.119847003824904,0.509987250318742,0.0,0.509987250318742,1.019974500637484,69,-1.6000000000000014
Vladislav Gavrikov,L.A,20242025,254.68333333333,D,14.3,11.0,7.022838819449079,7.067600287939364,0.0,0.0,0.0,0.0,70,-3.3000000000000007
Charlie McAvoy,BOS,20242025,81.8,D,14.3,-2.7,5.838630806845966,9.535452322738386,2.2004889975550124,3.6674816625916873,4.400977995110025,0.7334963325183375,71,-17.0
Thomas Chabot,OTT,20242025,148.78333333333,D,14.2,18.4,8.158171838243714,4.839251708300769,0.4032709756917307,0.0,0.4032709756917307,0.0,72,4.199999999999999
Ryan McLeod,BUF,20242025,178.33333333333,C,14.0,12.9,6.8500934579440536,6.3925233644861015,1.0093457943925424,0.3364485981308474,1.3457943925233895,0.6728971962616949,73,-1.0999999999999996
Vincent Trocheck,NYR,20242025,177.25,C,14.0,13.4,8.956840620592384,6.770098730606488,1.0155148095909734,0.0,0.3385049365303244,1.692524682651622,74,-0.5999999999999996
Damon Severson,CBJ,20242025,91.833333333333,D,14.0,10.4,6.873321234119807,7.8402903811252544,0.0,0.0,0.653357531760438,0.0,75,-3.5999999999999996
Lars Eller,"PIT, WSH",20242025,76.9,C,13.9,11.5,6.71781534460338,6.24187256176853,0.0,0.0,0.0,0.0,76,-2.4000000000000004
Mattias Janmark,EDM,20242025,125.2,C,13.9,9.7,6.958466453674121,8.146964856230031,0.0,0.0,0.0,0.0,77,-4.200000000000001
Andrew Peeke,BOS,20242025,131.35,D,13.8,13.5,6.9158736200989726,5.938332698896079,0.0,0.0,0.0,0.0,78,-0.3000000000000007
Charlie Coyle,"BOS, COL",20242025,156.65,C,13.8,1.8,7.522502393871688,9.57548675390999,0.7660389403127992,1.5320778806255984,1.915097350781998,0.0,79,-12.0
Bowen Byram,BUF,20242025,144.3,D,13.6,5.8,7.559251559251558,9.147609147609147,0.8316008316008315,0.8316008316008315,1.663201663201663,0.0,80,-7.8
Aliaksei Protas,WSH,20242025,117.61666666667,C,13.6,11.9,6.483774975201744,6.63171319257456,0.0,0.0,0.0,1.530395352132591,81,-1.6999999999999993
Dmitry Kulikov,FLA,20242025,136.23333333333,D,13.5,14.0,7.262539760215494,5.72547100562774,0.0,0.0,0.0,0.0,82,0.5
Cole Smith,NSH,20242025,165.16666666667,"L, R",13.5,16.7,6.814934409687047,5.085771947527647,0.0,0.0,0.0,0.0,83,3.1999999999999993
Joel Hanley,CGY,20242025,68.083333333333,D,13.5,19.9,6.9532435740514416,3.525091799265623,0.0,0.0,0.0,0.0,84,6.399999999999999
Danton Heinen,"PIT, VAN",20242025,73.95,L,13.4,11.9,7.326572008113589,6.490872210953347,0.0,0.0,0.0,0.8113590263691683,85,-1.5
Chris Kreider,NYR,20242025,115.13333333333,L,13.4,12.3,7.8899826288363615,6.253618992472677,1.0422698320787795,0.0,0.0,2.084539664157559,86,-1.0999999999999996
Zach Werenski,CBJ,20242025,129.16666666667,D,13.3,10.7,8.017548387096568,8.361290322580428,0.0,0.0,0.464516129032246,0.464516129032246,87,-2.6000000000000014
Mika Zibanejad,NYR,20242025,157.4,C,13.3,12.5,7.31130876747141,5.717916137229987,0.3811944091486658,0.3811944091486658,1.5247776365946633,0.0,88,-0.8000000000000007
Jansen Harkins,ANA,20242025,95.35,C,13.2,15.0,7.607760880964867,5.034084950183535,0.0,0.0,0.0,0.0,89,1.8000000000000007
Pavel Zacha,BOS,20242025,138.58333333333,C,13.2,8.7,6.663138905592464,8.226097414311685,2.164762477450443,0.4329524954900886,4.329524954900886,0.4329524954900886,90,-4.5
Filip Hronek,VAN,20242025,137.88333333333,D,13.2,16.2,8.159071678955836,5.656956364076047,0.0,0.0,0.0,0.0,91,3.0
Alex Killorn,ANA,20242025,154.86666666667,L,13.2,0.0,7.922944468359709,11.62290142057659,0.7748600947051061,0.387430047352553,2.712010331467871,0.387430047352553,92,-13.2
