player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
Radek Faksa,STL,20242025,89.016666666667,C,9.1,8.3,8.876989327841194,7.414341883542379,0.0,0.0,0.0,0.0,169,-0.7999999999999989
Yakov Trenin,MIN,20242025,90.183333333333,C,9.0,6.4,7.61116244686752,9.314359637774936,0.0,0.0,0.0,0.6653114026982099,170,-2.5999999999999996
Dylan Samberg,WPG,20242025,143.76666666667,D,9.0,15.4,6.98632042661704,4.173429167632641,0.0,0.0,0.0,0.0,171,6.4
Alex Vlasic,CHI,20242025,210.5,D,8.9,10.4,7.980997624703088,7.980997624703088,0.0,0.0,0.0,0.0,172,1.5
Erik Karlsson,PIT,20242025,63.516666666667,D,8.9,15.8,7.075308318026728,4.723169771713436,1.8892679086853743,0.0,3.7785358173707486,0.0,173,6.9
Ryan Lindgren,"COL, NYR",20242025,171.23333333333,D,8.7,14.1,9.02277593926434,5.956784115242475,0.0,0.0,0.0,0.0,174,5.4
Neal Pionk,WPG,20242025,119.05,D,8.7,8.4,7.79672406551869,7.5598488030239395,0.0,0.0,0.503989920201596,0.0,175,-0.29999999999999893
Josh Norris,"BUF, OTT",20242025,122.06666666667,C,8.7,11.4,8.193883123975747,6.389950846531775,0.4915346805024443,0.4915346805024443,0.4915346805024443,0.9830693610048886,176,2.700000000000001
Colin Blackwell,DAL,20242025,113.38333333333,C,8.7,13.3,8.339850066147532,6.879317947964336,0.0,0.0,0.0,1.0583566073791284,177,4.600000000000001
Gustav Forsling,FLA,20242025,215.08333333333,D,8.6,11.9,8.106625339016011,6.69507942657895,0.0,0.0,0.0,0.0,178,3.3000000000000007
Noah Hanifin,VGK,20242025,75.666666666667,D,8.6,2.3,8.032599118942697,10.308370044052818,0.0,0.0,0.0,0.0,179,-6.3
Pavel Buchnevich,STL,20242025,80.616666666667,L,8.4,5.8,10.054992764109944,10.41968162083932,0.0,0.0,1.4885259458341886,0.0,180,-2.6000000000000005
Teuvo Teravainen,CHI,20242025,103.4,C,8.2,20.0,8.39651837524178,2.9013539651837523,0.0,0.0,0.0,0.0,181,11.8
Jason Dickinson,CHI,20242025,141.66666666667,C,8.1,10.0,7.746352941176288,7.19999999999983,0.0,0.0,0.0,0.0,182,1.9000000000000004
Jake Walman,"EDM, S.J",20242025,156.85,D,8.0,1.2,8.29709913930507,9.563277016257572,0.3825310806503028,0.3825310806503028,0.7650621613006057,0.0,183,-6.8
Olli Maatta,"DET, UTA",20242025,126.93333333333,D,7.9,15.1,8.016806722689287,5.199579831932909,0.0,0.0,0.0,0.0,184,7.199999999999999
Frank Vatrano,ANA,20242025,60.633333333333,R,7.5,10.6,8.470588235294164,6.9268829026938255,2.968664101154497,0.9895547003848322,1.9791094007696644,0.9895547003848322,185,3.0999999999999996
Parker Kelly,COL,20242025,148.28333333333,C,7.4,11.2,8.00359671799501,8.4972462627854,0.0,0.0,0.4046307744183523,0.4046307744183523,186,3.799999999999999
Mikael Granlund,"DAL, S.J",20242025,121.86666666667,C,7.4,8.6,9.22155361050303,9.846827133478945,0.9846827133478944,0.0,0.4923413566739471,0.4923413566739471,187,1.1999999999999993
Dawson Mercer,N.J,20242025,157.6,C,7.2,3.0,8.992385786802032,8.756345177664974,0.0,0.0,0.7614213197969543,0.3807106598984771,188,-4.2
Ryan McDonagh,T.B,20242025,198.28333333333,D,7.1,9.5,7.253257123644738,7.262335042447797,0.0,0.0,0.0,0.3025972934353249,189,2.4000000000000004
Chris Tanev,TOR,20242025,174.95,D,7.0,11.7,8.035438696770507,6.516147470705916,0.0,0.0,0.0,0.0,190,4.699999999999999
Alex Tuch,BUF,20242025,172.4,R,7.0,5.4,7.868909512761021,8.700696055684455,3.132250580046404,1.740139211136891,2.436194895591647,2.088167053364269,191,-1.5999999999999996
Jordan Greenway,BUF,20242025,81.466666666667,L,7.0,4.6,8.204582651391128,8.837970540098164,0.0,0.0,0.7364975450081803,0.0,192,-2.4000000000000004
Aleksander Barkov,FLA,20242025,95.25,C,7.0,5.6,8.711811023622047,8.818897637795276,0.0,0.0,1.2598425196850394,0.6299212598425197,193,-1.4000000000000004
Ty Emberson,EDM,20242025,142.26666666667,D,6.9,12.0,7.865510777881727,6.32614807872525,0.0,0.0,0.0,0.0,194,5.1
Aaron Ekblad,FLA,20242025,127.85,D,6.8,11.2,8.860383261634729,7.508799374266719,0.0,0.0,0.0,0.0,195,4.3999999999999995
Mattias Ekholm,EDM,20242025,129.2,D,6.7,4.1,7.086687306501549,9.287925696594428,0.0,0.0,0.0,0.0,196,-2.6000000000000005
Artem Zub,OTT,20242025,134.18333333333,D,6.7,14.0,8.066575580673408,6.2600919140481,0.0,0.0,0.0,0.0,197,7.3
Sam Reinhart,FLA,20242025,116.71666666667,C,6.7,8.1,8.22504640868176,7.710981008139149,0.51406540054261,0.0,0.0,2.5703270027130496,198,1.3999999999999995
Will Borgen,"NYR, SEA",20242025,106.48333333333,D,6.6,10.6,9.201439974957244,7.32508999843504,0.0,0.0,0.0,0.5634684614180799,199,4.0
Jack McBain,UTA,20242025,115.63333333333,C,6.6,8.5,7.892187950418216,8.302104352839674,0.0,0.0,0.0,0.0,200,1.9000000000000004
Zach Bogosian,MIN,20242025,139.1,D,6.4,5.1,7.375988497483826,9.489575844716033,0.0,0.0,0.0,0.0,201,-1.3000000000000007
Joel Armia,MTL,20242025,200.51666666667,R,6.4,13.5,8.420247693458426,5.984539938492129,0.0,0.0,0.0,0.8976809907738194,202,7.1
Bryan Rust,PIT,20242025,84.083333333333,R,6.4,3.1,8.29890981169478,10.7036669970268,0.7135777998017867,0.0,1.4271555996035734,0.0,203,-3.3000000000000003
Mattias Samuelsson,BUF,20242025,163.2,D,6.3,0.1,7.294117647058824,10.661764705882351,0.0,0.0,0.0,0.0,204,-6.2
Kevin Stenlund,UTA,20242025,205.06666666667,C,6.2,7.7,9.354031209362656,7.899869960988169,0.0,0.0,0.0,0.2925877763328951,205,1.5
Ivan Provorov,CBJ,20242025,202.03333333333,D,6.2,10.0,7.644283121597223,7.721498102623457,0.0,0.0,0.0,0.2969806962547483,206,3.8
Ilya Lyubushkin,DAL,20242025,178.51666666667,D,6.2,11.0,8.728596769675871,7.394267575389648,0.0,0.0,0.0,0.0,207,4.8
Logan Stanley,WPG,20242025,75.583333333333,D,6.1,-1.4,8.303417861080522,11.90738699007723,0.0,0.0,0.0,0.0,208,-7.5
Luke Kunin,"CBJ, S.J",20242025,125.46666666667,C,6.1,9.4,7.924017003187887,7.651434643995547,0.0,0.0,0.0,0.0,209,3.3000000000000007
Mikhail Sergachev,UTA,20242025,217.5,D,6.0,9.9,8.31448275862069,6.896551724137931,0.2758620689655172,0.2758620689655172,0.5517241379310345,0.0,210,3.9000000000000004
Dylan DeMelo,WPG,20242025,166.06666666667,D,6.0,9.2,8.562826174227048,6.864712966679911,0.0,0.0,0.0,0.0,211,3.1999999999999993
Carson Soucy,"NYR, VAN",20242025,130.55,D,5.9,3.9,9.738797395633856,10.111068556108773,0.0,0.0,0.0,0.0,212,-2.0000000000000004
Noah Juulsen,VAN,20242025,80.683333333333,D,5.9,14.7,8.068580871720753,5.205536046271453,0.0,0.0,0.0,0.0,213,8.799999999999999
Cole Sillinger,CBJ,20242025,89.116666666667,C,5.8,6.3,9.452777258275631,10.099121002431232,0.6732747334954154,0.6732747334954154,0.0,0.6732747334954154,214,0.5
Alexander Kerfoot,UTA,20242025,194.0,C,5.7,9.4,9.389690721649483,7.11340206185567,0.0,0.0,0.0,0.3092783505154639,215,3.7
Bo Horvat,NYI,20242025,86.933333333333,C,5.7,10.0,9.814417177914148,7.59202453987733,0.0,0.0,0.6901840490797573,1.3803680981595146,216,4.3
Travis Sanheim,PHI,20242025,184.28333333333,D,5.7,12.4,8.139640047029179,5.860540833861008,0.0,0.0,0.0,0.0,217,6.7
Radko Gudas,ANA,20242025,192.3,D,5.6,3.1,8.29641185647426,10.296411856474258,0.0,0.0,0.0,0.0,218,-2.4999999999999996
Alexandre Carrier,"MTL, NSH",20242025,152.11666666667,D,5.6,11.0,7.336474197436019,6.310945546181521,0.0,0.0,0.0,0.0,219,5.4
Robert Thomas,STL,20242025,89.466666666667,C,5.3,6.0,10.314456035767474,10.730253353204134,0.6706408345752584,0.0,0.6706408345752584,0.6706408345752584,220,0.7000000000000002
Brett Howden,VGK,20242025,82.333333333333,C,5.1,-2.8,7.578947368421083,9.473684210526354,0.0,0.0,0.0,0.7287449392712579,221,-7.8999999999999995
Kyle Palmieri,NYI,20242025,84.383333333333,C,5.1,4.9,8.824017380999441,8.53249061821058,0.0,0.0,1.4220817697017636,0.0,222,-0.1999999999999993
Nico Hischier,N.J,20242025,146.26666666667,C,5.0,-5.1,9.27484047401984,11.485870556061728,0.0,0.0,0.0,0.0,223,-10.1
Elias Lindholm,BOS,20242025,136.95,C,4.9,4.1,7.929901423877328,10.076670317634171,3.5049288061336257,1.3143483023001097,2.190580503833516,0.4381161007667032,224,-0.8000000000000007
Henry Thrun,S.J,20242025,69.8,D,4.9,13.3,9.730659025787965,6.017191977077364,0.0,0.0,0.0,0.0,225,8.4
Nic Dowd,WSH,20242025,201.9,C,4.9,11.2,8.169390787518573,6.240713224368498,0.0,0.0,0.0,0.5943536404160475,226,6.299999999999999
Auston Matthews,TOR,20242025,106.41666666667,C,4.8,5.7,10.024745497258888,8.457321848081175,0.0,0.563821456538745,1.12764291307749,1.12764291307749,227,0.9000000000000004
Cody Ceci,"DAL, S.J",20242025,200.7,D,4.8,8.8,9.121076233183857,8.370702541106128,0.0,0.0,0.0,0.0,228,4.000000000000001
Colton Parayko,STL,20242025,136.51666666667,D,4.8,3.2,9.46697594921232,10.548162617506764,0.0,0.0,0.0,0.0,229,-1.5999999999999996
Jack Johnson,CBJ,20242025,62.433333333333,D,4.8,9.1,9.735184196476292,8.649225840897001,0.0,0.0,0.0,0.0,230,4.3
Ryan Shea,PIT,20242025,64.783333333333,D,4.6,12.9,6.890661178286632,5.556984821198896,0.0,0.0,0.0,0.0,231,8.3
Nick Foligno,CHI,20242025,172.03333333333,L,4.6,3.3,8.666925014532236,9.41677969385796,0.0,0.0,0.0,0.3487696182910356,232,-1.2999999999999998
Simon Edvinsson,DET,20242025,120.36666666667,D,4.5,-2.5,8.489061201882901,11.963445029077484,0.0,0.0,0.0,0.0,233,-7.0
Scott Mayfield,NYI,20242025,105.15,D,4.5,3.6,9.03851640513552,10.271041369472185,0.0,0.0,0.0,0.5706134094151213,234,-0.8999999999999999
Ty Dellandrea,S.J,20242025,72.866666666667,C,4.4,-3.0,9.7410795974382,12.351326623970666,0.0,0.0,0.0,0.0,235,-7.4
Rasmus Kupari,WPG,20242025,63.316666666667,C,4.3,1.9,10.603843116609578,12.319031324032576,0.0,0.0,0.0,0.0,236,-2.4
Blake Coleman,CGY,20242025,156.1,"C, L",4.1,11.7,8.832799487508009,6.918641896220372,0.0,0.0,0.0,0.3843689942344651,237,7.6
Brayden McNabb,VGK,20242025,153.11666666667,D,4.0,5.5,7.006422118210362,8.229019266354452,0.0,0.0,0.0,0.3918580603025929,238,1.5
Ian Cole,UTA,20242025,219.9,D,4.0,7.9,8.91132332878581,7.366984993178717,0.0,0.0,0.0,0.0,239,3.9000000000000004
Matt Nieto,PIT,20242025,62.5,L,4.0,10.2,6.6432,7.68,0.0,0.0,0.0,0.0,240,6.199999999999999
Cody Glass,"N.J, PIT",20242025,78.2,C,4.0,19.5,7.872122762148337,3.0690537084398977,0.0,0.0,0.0,0.0,241,15.5
Jake Sanderson,OTT,20242025,196.58333333333,D,4.0,8.0,8.588724035608454,8.24077999152197,0.610428147520146,0.9156422212802192,0.305214073760073,0.0,242,4.0
Tyler Motte,DET,20242025,82.883333333333,C,3.9,-6.7,7.434546551377467,10.858636637844404,0.0,0.0,0.0,0.0,243,-10.6
Dylan Larkin,DET,20242025,88.133333333333,C,3.8,5.4,8.468986384266294,9.531013615733771,0.0,0.6807866868381266,1.3615733736762532,0.0,244,1.6000000000000005
Moritz Seider,DET,20242025,157.46666666667,D,3.8,-2.8,8.371295512277554,12.57408975444512,1.14309906858592,0.0,0.0,0.0,245,-6.6
Brenden Dillon,N.J,20242025,208.81666666667,D,3.8,8.2,9.277995051480415,7.470668050123594,0.0,0.0,0.0,0.0,246,4.3999999999999995
Justin Danforth,CBJ,20242025,98.45,R,3.7,10.4,9.507364144235652,7.313357034027425,0.0,0.0,0.0,0.6094464195022854,247,6.7
Mitch Marner,TOR,20242025,165.33333333333,R,3.5,2.1,9.192338709677603,9.072580645161471,0.0,0.7258064516129179,1.4516129032258358,0.3629032258064589,248,-1.4
Mike Matheson,MTL,20242025,262.06666666667,D,3.3,11.4,9.107606207071877,6.868481302467478,0.0,0.6868481302467477,0.0,0.0,249,8.100000000000001
Adam Henrique,EDM,20242025,124.18333333333,C,3.2,9.0,7.957589585290778,6.764192725808798,0.0,0.0,0.0,0.483156623272057,250,5.8
Ryan Poehling,PHI,20242025,96.75,C,3.2,5.8,8.285271317829457,7.441860465116279,0.0,0.0,0.0,0.0,251,2.5999999999999996
Adam Lowry,WPG,20242025,137.45,C,3.1,7.6,8.72608221171335,6.9843579483448535,0.0,0.0,0.0,0.0,252,4.5
Ryker Evans,SEA,20242025,67.933333333333,D,3.1,5.8,8.646712463199258,8.832188420019671,0.0,0.0,0.0,0.0,253,2.6999999999999997
Connor Dewar,"PIT, TOR",20242025,74.216666666667,C,2.9,10.6,8.221872894677707,6.467549966314816,0.0,0.0,0.0,0.0,254,7.699999999999999
Cam York,PHI,20242025,123.7,D,2.8,11.5,9.240097008892482,5.820533548908649,0.0,0.0,0.0,0.0,255,8.7
Ryan Pulock,NYI,20242025,155.01666666667,D,2.8,2.4,9.223524352219991,10.06343403935039,0.0,0.0,0.0,0.0,256,-0.3999999999999999
Christian Dvorak,MTL,20242025,178.7,C,2.6,10.0,7.796306659205372,6.3794068270845,0.3357582540570789,0.0,0.0,0.0,257,7.4
Alexander Romanov,NYI,20242025,121.6,D,2.6,6.7,7.9292763157894735,8.881578947368421,0.0,0.0,0.0,0.0,258,4.1
Ryan Suter,STL,20242025,159.38333333333,D,2.6,2.4,7.837707832270372,9.787723517724768,0.0,0.0,0.0,0.3764509045278757,259,-0.20000000000000018
Travis Hamonic,OTT,20242025,89.433333333333,D,2.6,-3.8,8.822213939619862,12.076034289973956,0.0,0.0,0.0,0.0,260,-6.4
John Carlson,WSH,20242025,213.9,D,2.5,9.8,8.53295932678822,7.012622720897615,0.0,0.2805049088359046,0.5610098176718092,0.0,261,7.300000000000001
Mark Stone,VGK,20242025,74.716666666667,R,2.5,3.2,8.712915458398355,10.439437876421993,2.409101048405075,0.0,0.8030336828016917,0.0,262,0.7000000000000002
Jack Eichel,VGK,20242025,110.71666666667,C,2.4,1.8,7.7495107632091615,9.754628932710832,1.0838476591900923,0.0,1.0838476591900923,0.5419238295950461,263,-0.5999999999999999
Ryan Graves,PIT,20242025,92.733333333333,D,2.4,8.5,7.369518332135182,8.41121495327106,0.0,0.0,0.0,0.0,264,6.1
Brock Faber,MIN,20242025,152.48333333333,D,2.4,5.0,8.900644879221968,10.230626297956285,0.3934856268444724,0.0,0.3934856268444724,0.0,265,2.6
Yanni Gourde,"SEA, T.B",20242025,61.65,C,2.4,-2.2,9.800486618004866,10.705596107055962,0.0,0.0,0.0,0.0,266,-4.6
David Kampf,TOR,20242025,116.53333333333,C,2.4,12.2,7.790045766590612,6.178489702517339,0.0,0.0,0.0,0.0,267,9.799999999999999
Jake McCabe,TOR,20242025,158.71666666667,D,2.2,9.0,8.44901816654398,7.938674787356758,0.0,0.0,0.0,0.0,268,6.8
Josh Anderson,MTL,20242025,141.0,R,2.1,11.5,8.37872340425532,5.957446808510639,0.0,0.0,0.0,0.425531914893617,269,9.4
Brett Leason,ANA,20242025,104.15,R,2.1,12.1,8.387902064330293,5.760921747479596,1.728276524243879,0.0,0.0,0.0,270,10.0
Barclay Goodrow,S.J,20242025,149.01666666667,C,2.0,9.6,9.035230958505558,7.650150989821995,0.0,0.0,0.402639525780105,0.402639525780105,271,7.6
Isac Lundestrom,ANA,20242025,188.5,C,2.0,6.3,9.421750663129972,9.549071618037136,0.0,0.0,0.0,0.0,272,4.3
Jonas Brodin,MIN,20242025,83.366666666667,D,2.0,2.2,9.25549780087961,12.235105957616904,0.0,0.0,0.0,0.0,273,0.20000000000000018
Jan Rutta,S.J,20242025,94.9,D,1.9,8.8,9.382507903055847,8.21917808219178,0.0,0.0,0.0,0.0,274,6.9
Simon Holmstrom,NYI,20242025,103.5,R,1.6,8.4,9.66376811594203,8.695652173913043,1.1594202898550725,0.0,0.5797101449275363,0.5797101449275363,275,6.800000000000001
Rasmus Andersson,CGY,20242025,190.41666666667,D,1.4,7.3,9.141006564551262,8.50765864332589,0.0,0.0,0.3150984682713292,0.0,276,5.9
Morgan Barron,WPG,20242025,87.05,C,1.4,13.1,8.422745548535325,6.203331418724871,0.0,0.0,0.0,0.0,277,11.7
Frederick Gaudreau,MIN,20242025,141.41666666667,C,1.2,6.6,9.35109015910408,9.75839717147885,0.0,0.0,0.0,0.0,278,5.3999999999999995
Simon Benoit,TOR,20242025,156.21666666667,D,1.1,7.1,9.068174543902504,8.065720687079738,0.0,0.0,0.0,0.0,279,6.0
Matthew Knies,TOR,20242025,105.35,L,0.9,11.7,8.730897009966778,6.264831514000949,1.1390602752728998,0.0,0.0,0.0,280,10.799999999999999
Martin Fehervary,WSH,20242025,232.61666666667,D,0.9,10.5,8.609873181915763,6.964247331088243,0.0,0.0,0.0,0.0,281,9.6
Mikael Backlund,CGY,20242025,163.5,C,0.6,6.6,9.559633027522937,9.174311926605505,0.0,0.0,0.3669724770642202,0.0,282,6.0
Mario Ferraro,S.J,20242025,201.58333333333,D,0.6,5.1,9.280529144274649,9.52459694088482,0.0,0.0,0.0,0.0,283,4.5
Ryan Nugent-Hopkins,EDM,20242025,128.81666666667,C,0.4,5.2,8.351403803855392,8.384008280501789,0.4657782378056549,0.0,0.4657782378056549,0.4657782378056549,284,4.8
Adam Pelech,NYI,20242025,113.63333333333,D,0.2,6.2,10.25403344089206,8.448225286007874,0.0,0.0,0.0,0.0,285,6.0
Noel Acciari,PIT,20242025,178.31666666667,C,0.0,10.2,7.173754556500474,7.402560987007994,0.0,0.0,0.0,0.0,286,10.2
Collin Graf,S.J,20242025,64.366666666667,R,-0.3,8.7,8.752977731745165,6.525116519937822,0.0,0.0,0.9321595028482604,0.9321595028482604,287,9.0
Alex Pietrangelo,VGK,20242025,139.35,D,-0.5,4.8,7.582346609257266,8.611410118406889,0.0,0.0,0.0,0.0,288,5.3
Brandon Duhaime,WSH,20242025,181.33333333333,R,-0.9,8.1,8.655882352941337,7.6102941176472,0.0,0.0,0.0,0.0,289,9.0
Ben Chiarot,DET,20242025,138.65,D,-1.0,-2.9,9.234763793725207,12.116840966462314,0.0,0.0,0.0,0.0,290,-1.9
David Savard,MTL,20242025,223.61666666667,D,-1.1,10.9,9.219348587612592,6.976224193187643,0.0,0.0,0.0,0.0,291,12.0
Jean-Gabriel Pageau,NYI,20242025,131.63333333333,C,-1.8,4.6,9.581159787288165,9.572043555330705,0.0,0.0,0.0,0.4558115978728908,292,6.3999999999999995
Kevin Bahl,CGY,20242025,172.38333333333,D,-2.4,6.2,9.411582712946135,9.049598762448207,0.0,0.0,0.0,0.0,293,8.6
Jake Middleton,MIN,20242025,132.3,D,-3.0,7.3,8.843537414965986,8.616780045351474,0.0,0.0,0.0,0.0,294,10.3
Justin Holl,DET,20242025,87.433333333333,D,-3.6,4.2,9.209302325581431,8.921082729698853,0.0,0.0,0.0,0.0,295,7.800000000000001
Adam Larsson,SEA,20242025,214.0,D,-4.3,7.0,9.039252336448598,8.130841121495326,0.0,0.0,0.0,0.0,296,11.3
Jamie Oleksiak,SEA,20242025,210.95,D,-5.0,6.3,9.260962313344397,8.248400094809197,0.0,0.0,0.0,0.0,297,11.3
Joel Eriksson Ek,MIN,20242025,78.9,C,-5.8,3.3,9.73384030418251,11.406844106463875,0.7604562737642585,0.7604562737642585,0.7604562737642585,0.0,298,9.1
Michael Rasmussen,DET,20242025,64.016666666667,C,-6.3,-1.8,10.469148659203276,11.247071075240765,0.0,0.0,0.0,0.0,299,4.5
Chandler Stephenson,SEA,20242025,149.8,C,-6.9,10.6,9.448598130841122,5.607476635514018,0.0,0.0,0.0,0.8010680907877169,300,17.5
Brandon Tanev,"SEA, WPG",20242025,153.01666666667,L,-9.5,7.0,9.64600806012396,7.450168826925009,0.0,0.0,0.0,0.0,301,16.5
