player,birth_date
J.T. Compher,1995-04-08
Christian Dvorak,2003-09-16
Christian Fischer,2003-09-16
Jonas Brodin,1993-07-12
Anthony Cirelli,1997-07-15
Noel Acciari,1991-12-01
Parker Wotherspoon,1997-08-24
Ryan Poehling,1999-01-03
Barclay Goodrow,1993-02-26
Chris Tanev,1989-12-20
Hampus Lindholm,1994-01-20
Luke Glendening,1989-04-28
Vincent Trocheck,1993-07-11
Joel Eriksson Ek,1997-01-29
Pius Suter,1996-05-24
Eric Staal,2005-07-15
Michael McCarron,1995-03-07
Sean Couturier,1992-12-07
Jonas Siegenthaler,1997-05-06
Elias Lindholm,1994-12-02
Sam Reinhart,1995-11-06
Mitchell Marner,1999-11-25
Jani Hakanpaa,
Parker Kelly,1997-08-24
Mark Giordano,1994-09-13
Filip Hronek,1997-11-02
Nick Foligno,1987-10-31
Jack McBain,2000-01-06
Brendan Smith,1989-02-08
Lars Eller,1989-05-08
Jake Middleton,2005-03-27
Ryan Shea,1997-02-11
Sam Carrick,1992-02-04
Jean-Gabriel Pageau,1992-11-11
Kevin Shattenkirk,2006-04-30
Troy Stecher,1994-04-07
Jordan Martinook,1992-07-25
Cole Smith,1995-10-28
Vincent Desharnais,1996-05-29
Adam Fox,1998-02-17
Adam Henrique,1990-02-06
Mark Kastelic,1999-03-11
Yakov Trenin,1997-01-13
Zach Whitecloud,1990-07-15
Jackson LaCombe,2001-01-09
Brock McGinn,1991-10-15
Nicholas Paul,2004-04-18
Teddy Blueger,1994-08-15
Alexander Wennberg,1994-09-22
Frederick Gaudreau,1993-05-01
Mitch Marner,1997-05-05
Brandon Hagel,1998-08-27
Scott Laughton,1994-05-30
Nikita Zaitsev,2003-05-02
Seth Jarvis,2002-02-01
Jack Drury,2000-02-03
Yanni Gourde,1991-12-15
Derek Grant,1992-03-04
Jason Dickinson,1995-07-04
Ty Dellandrea,2004-09-11
Logan O'Connor,1996-08-14
Oskar Bäck,2000-03-12
Nico Hischier,1999-01-04
Jack Johnson,1996-10-28
Sean Walker,1994-11-13
K'Andre Miller,2000-01-21
Frank Vatrano,1994-03-14
Seth Jones,1994-10-03
Josh Anderson,1994-05-07
Pavel Mintyukov,2003-11-25
Joel Farabee,2000-02-25
Erik Haula,1991-03-23
Nick Bjugstad,1992-07-17
Tomas Nosek,1992-09-01
Ryan Suter,1995-05-21
Andrew Cogliano,1994-07-08
Jalen Chatfield,1996-05-15
Austin Watson,1992-01-13
Connor Brown,1994-01-14
Noah Dobson,2000-01-07
Dawson Mercer,2001-10-27
Nate Schmidt,1991-07-16
Mika Zibanejad,1993-04-18
Oliver Ekman-Larsson,2000-05-24
Simon Holmstrom,2001-05-24
Jake Walman,2005-03-27
Dylan Samberg,1999-01-24
Steven Lorentz,1996-04-13
Connor McMichael,2001-01-15
Ridly Greig,2002-08-08
Blake Coleman,1991-11-28
Nick Seeler,1993-06-03
Eric Robinson,1995-06-14
Teuvo Teravainen,1994-09-11
Will Borgen,1996-12-19
J.T. Miller,1993-03-14
Anton Lundell,2001-10-03
Rasmus Ristolainen,2000-03-07
Shane Pinto,2000-11-12
Michael McLeod,1999-06-09
Jeff Petry,1987-12-09
Josh Manson,1991-10-07
Tyler Motte,1991-11-01
Cal Clutterbuck,1994-10-19
Cole Sillinger,2003-05-16
Ryan O'Reilly,1991-02-07
Chandler Stephenson,1994-04-22
Justin Faulk,1992-03-20
Casey Cizikas,1991-02-27
Tim Stützle,2002-01-15
Yegor Sharangovich,1998-06-06
Joonas Donskoi,1994-04-28
Sam Steel,1998-02-03
Thomas Chabot,1997-01-30
Quinton Byfield,2002-08-19
Noah Cates,1999-02-05
Dmitry Orlov,1991-07-23
Radek Faksa,1994-01-09
Tom Wilson,1994-03-29
Alex Formenton,1997-12-18
Robert Thomas,1999-07-02
Mikael Granlund,1992-02-26
Ryan Nugent-Hopkins,1995-05-21
Robert Bortuzzo,2006-06-08
Brett Leason,1999-04-30
Marco Scandella,2001-09-23
Luke Kunin,1997-12-04
Louis Crevier,2001-05-04
Zach Parise,1990-07-15
Justin Braun,2005-07-28
Bowen Byram,2001-06-13
Colin Blackwell,1993-03-28
Anze Kopitar,1987-08-24
Sebastian Aho,1997-07-26
Alex Iafallo,1993-12-21
